TIPO EVA FIBRA COMPRESSAO TRACAO MODULO MASSA ABSORCAO POROSIDADE
CR 0 0 21.08 3.23 36.71 2097.54 5.54 11.61
EF5 0.05 0 22.57 2.63 34.43 2101.32 6.32 13.26
1EF5 0.05 0.01 17.27 2.64 35.78 2092.87 7.91 16.53
2EF5 0.05 0.02 16.70 2.30 31.44 2108.81 8.20 17.30
EF15 0.15 0 15.16 2.38 28.74 1956.29 7.54 14.75
1EF15 0.15 0.01 18.33 2.02 30.92 1988.09 8.77 17.44
2EF15 0.15 0.02 15.94 2.53 24.38 2064.51 8.98 18.53
EF25 0.25 0 10.01 1.26 23.34 1922.18 9.43 18.14
1EF25 0.25 0.01 11.65 1.79 21.22 1938.71 10.93 21.18
2EF25 0.25 0.02 11.02 1.96 20.61 1965.11 11.28 22.16
EG15 0.15 0 16.24 2.31 28.96 1942.77 8.45 16.40
1EG15 0.15 0.01 12.92 1.92 29.89 2015.61 9.89 19.94
