TIPO EVA FIBRA MS MSSS MI MES ABSORCAO POROSIDADE
CR 0 0 3.460 3.645 2.000 2103.34 5.35 11.25
CR 0 0 3.583 3.778 2.100 2135.28 5.44 11.62
CR 0 0 3.500 3.704 2.000 2053.99 5.83 11.97
EF5 0.014 0 3.572 3.785 2.100 2119.88 5.96 12.64
EF5 0.014 0 3.416 3.659 2.000 2059.07 7.11 14.65
EF5 0.014 0 3.570 3.780 2.100 2125.00 5.88 12.50
EF15 0.043 0 3.362 3.624 1.900 1950.12 8 15
EF15 0.043 0 3.393 3.650 1.900 1938.86 8 15
EF15 0.043 0 3.348 3.591 1.900 1979.89 7 14
EG15 0.029 0 3.165 3.451 1.800 1917.02 9 17
EG15 0.029 0 3.285 3.549 1.900 1992.12 8 16
EG15 0.029 0 3.205 3.470 1.800 1919.16 8 16
1EF5 0.014 0.017 3.372 3.649 2.000 2044.88 8 17
1EF5 0.014 0.017 3.382 3.650 2.000 2049.70 8 16
1EF5 0.014 0.017 3.560 3.830 2.200 2184.05 8 17
2EF5 0.014 0.034 3.345 3.625 2.000 2058.46 8 17
2EF5 0.014 0.034 3.404 3.676 2.100 2159.90 8 17
2EF5 0.014 0.034 3.453 3.738 2.100 2108.06 8 17
1EF15 0.043 0.017 3.266 3.549 1.900 1980.59 9 17
1EF15 0.043 0.017 3.253 3.544 1.900 1978.71 9 18
1EF15 0.043 0.017 3.230 3.511 1.900 2004.97 9 17
2EF15 0.043 0.034 3.270 3.572 2.000 2080.15 9 19
2EF15 0.043 0.034 3.261 3.550 2.000 2103.87 9 19
2EF15 0.043 0.034 3.386 3.685 2.000 2009.50 9 18
1EG15 0.029 0.017 3.181 3.490 1.900 2000.63 10 19
1EG15 0.029 0.017 3.241 3.572 2.000 2061.70 10 21
1EG15 0.029 0.017 3.201 3.513 1.900 1984.50 10 19
EF25 0.071 0 3.076 3.361 1.800 1970.53 9 18
EF25 0.071 0 3.099 3.421 1.800 1911.78 10 20
EF25 0.071 0 3.239 3.519 1.800 1884.24 9 16
1EF25 0.071 0.017 3.100 3.442 1.800 1887.94 11 21
1EF25 0.071 0.017 3.125 3.458 1.900 2005.78 11 21
1EF25 0.071 0.017 3.047 3.385 1.800 1922.40 11 21
2EF25 0.071 0.034 3.122 3.467 1.900 1992.34 11 22
2EF25 0.071 0.034 3.064 3.409 1.800 1904.29 11 21
2EF25 0.071 0.034 3.090 3.446 1.900 1998.71 12 23
